Epoch 161 [constrained] | Target: 0.20 | Ethical cost: 2.8691 | H: 0.586
Epoch 162 [constrained] | Target: 0.10 | Ethical cost: 3.6546 | H: 0.618
Epoch 163 [constrained] | Target: 0.00 | Ethical cost: 3.7271 | H: 0.593
Epoch 164 [constrained] | Target: 0.10 | Ethical cost: 4.5753 | H: 0.616
Epoch 165 [constrained] | Target: 0.20 | Ethical cost: 2.9161 | H: 0.626
Epoch 166 [constrained] | Target: 0.10 | Ethical cost: 6.1278 | H: 0.637
Epoch 167 [constrained] | Target: 0.00 | Ethical cost: 6.8529 | H: 0.618
Epoch 168 [constrained] | Target: 0.20 | Ethical cost: 3.2941 | H: 0.669
Epoch 169 [constrained] | Target: 0.00 | Ethical cost: 3.0259 | H: 0.629
Epoch 170 [constrained] | Target: 0.00 | Ethical cost: 4.7572 | H: 0.607
Epoch 171 [constrained] | Target: 0.10 | Ethical cost: 6.9584 | H: 0.695
Epoch 172 [constrained] | Target: 0.00 | Ethical cost: 9.1121 | H: 0.676
Epoch 173 [constrained] | Target: 0.00 | Ethical cost: 6.5930 | H: 0.603
Epoch 174 [constrained] | Target: 0.00 | Ethical cost: 4.7015 | H: 0.615
Epoch 175 [constrained] | Target: 0.00 | Ethical cost: 2.9061 | H: 0.584
Epoch 176 [constrained] | Target: 0.60 | Ethical cost: 3.3390 | H: 0.540
Epoch 177 [constrained] | Target: 0.10 | Ethical cost: 1.8607 | H: 0.540
Epoch 178 [constrained] | Target: 0.20 | Ethical cost: 2.8536 | H: 0.567
Epoch 179 [constrained] | Target: 0.20 | Ethical cost: 4.6980 | H: 0.507
Epoch 180 [constrained] | Target: 0.10 | Ethical cost: 2.7539 | H: 0.465
Epoch 181 [constrained] | Target: 0.00 | Ethical cost: 2.1727 | H: 0.425
Epoch 182 [constrained] | Target: 0.60 | Ethical cost: 4.0276 | H: 0.515
Epoch 183 [constrained] | Target: 0.00 | Ethical cost: 2.5554 | H: 0.491
Epoch 184 [constrained] | Target: 0.50 | Ethical cost: 2.0960 | H: 0.489
Epoch 185 [constrained] | Target: 0.10 | Ethical cost: 2.3326 | H: 0.485
Epoch 186 [constrained] | Target: 0.30 | Ethical cost: 2.9820 | H: 0.532
Epoch 187 [constrained] | Target: 0.10 | Ethical cost: 3.4105 | H: 0.548
Epoch 188 [constrained] | Target: 0.00 | Ethical cost: 4.0946 | H: 0.524
Epoch 189 [constrained] | Target: 0.40 | Ethical cost: 1.1974 | H: 0.430
Epoch 190 [constrained] | Target: 0.10 | Ethical cost: 3.1065 | H: 0.482
Epoch 191 [constrained] | Target: 0.00 | Ethical cost: 1.8643 | H: 0.506
Epoch 192 [constrained] | Target: 0.10 | Ethical cost: 1.8266 | H: 0.507
Epoch 193 [constrained] | Target: 0.00 | Ethical cost: 2.2879 | H: 0.405
Epoch 194 [constrained] | Target: 0.30 | Ethical cost: 2.8809 | H: 0.542
Epoch 195 [constrained] | Target: 0.10 | Ethical cost: 4.1229 | H: 0.467
Epoch 196 [constrained] | Target: 0.00 | Ethical cost: 5.9092 | H: 0.556
Epoch 197 [constrained] | Target: 0.00 | Ethical cost: 2.3351 | H: 0.507
Epoch 198 [constrained] | Target: 0.20 | Ethical cost: 5.6531 | H: 0.554
Epoch 199 [constrained] | Target: 0.10 | Ethical cost: 3.8854 | H: 0.489
Epoch 200 [constrained] | Target: 0.00 | Ethical cost: 7.8861 | H: 0.561
Epoch 201 [constrained] | Target: 1.00 | Ethical cost: 0.1043 | H: 0.539
Epoch 202 [constrained] | Target: 0.30 | Ethical cost: 8.9716 | H: 0.614
Epoch 203 [constrained] | Target: 0.10 | Ethical cost: 7.6488 | H: 0.601
Epoch 204 [constrained] | Target: 0.00 | Ethical cost: 4.9597 | H: 0.551
Epoch 205 [constrained] | Target: 0.00 | Ethical cost: 6.2380 | H: 0.587
Epoch 206 [constrained] | Target: 0.40 | Ethical cost: 3.5836 | H: 0.561
Epoch 207 [constrained] | Target: 0.00 | Ethical cost: 2.8555 | H: 0.512
Epoch 208 [constrained] | Target: 0.30 | Ethical cost: 8.9174 | H: 0.668
Epoch 209 [constrained] | Target: 0.30 | Ethical cost: 3.0381 | H: 0.535
Epoch 210 [constrained] | Target: 0.00 | Ethical cost: 4.6728 | H: 0.559
Epoch 211 [constrained] | Target: 0.20 | Ethical cost: 8.5651 | H: 0.648
Epoch 212 [constrained] | Target: 0.10 | Ethical cost: 6.0962 | H: 0.646
Epoch 213 [constrained] | Target: 0.20 | Ethical cost: 7.7167 | H: 0.645
Epoch 214 [constrained] | Target: 0.20 | Ethical cost: 9.4338 | H: 0.654
Epoch 215 [constrained] | Target: 0.00 | Ethical cost: 6.9295 | H: 0.618
Epoch 216 [constrained] | Target: 0.20 | Ethical cost: 8.9244 | H: 0.709
Epoch 217 [constrained] | Target: 0.40 | Ethical cost: 5.2338 | H: 0.681
Epoch 218 [constrained] | Target: 0.00 | Ethical cost: 14.2512 | H: 0.725
Epoch 219 [constrained] | Target: 0.00 | Ethical cost: 14.5388 | H: 0.755
Epoch 220 [constrained] | Target: 0.20 | Ethical cost: 7.4098 | H: 0.666
Epoch 221 [constrained] | Target: 0.00 | Ethical cost: 8.0048 | H: 0.677
Epoch 222 [constrained] | Target: 0.00 | Ethical cost: 10.5878 | H: 0.690
Epoch 223 [constrained] | Target: 0.70 | Ethical cost: 9.9415 | H: 0.725
