Epoch 321 [unconstrained] | Target: 0.30 | H: 1.032
Epoch 322 [unconstrained] | Target: 0.20 | H: 1.033
Epoch 323 [unconstrained] | Target: 0.00 | H: 1.058
Epoch 324 [unconstrained] | Target: 0.00 | H: 1.037
Epoch 325 [unconstrained] | Target: 0.30 | H: 1.035
Epoch 326 [unconstrained] | Target: 0.30 | H: 1.049
Epoch 327 [unconstrained] | Target: 0.00 | H: 1.028
Epoch 328 [unconstrained] | Target: 0.40 | H: 1.032
Epoch 329 [unconstrained] | Target: 0.00 | H: 1.043
Epoch 330 [unconstrained] | Target: 0.50 | H: 1.047
Epoch 331 [unconstrained] | Target: 0.00 | H: 1.023
Epoch 332 [unconstrained] | Target: 0.00 | H: 1.038
Epoch 333 [unconstrained] | Target: 0.30 | H: 1.032
Epoch 334 [unconstrained] | Target: 0.60 | H: 1.026
Epoch 335 [unconstrained] | Target: 0.10 | H: 1.024
Epoch 336 [unconstrained] | Target: 1.00 | H: 1.049
Epoch 337 [unconstrained] | Target: 0.10 | H: 1.031
Epoch 338 [unconstrained] | Target: 0.20 | H: 1.038
Epoch 339 [unconstrained] | Target: 0.00 | H: 1.037
Epoch 340 [unconstrained] | Target: 0.10 | H: 1.021
Epoch 341 [unconstrained] | Target: 0.00 | H: 1.032
Epoch 342 [unconstrained] | Target: 0.00 | H: 1.046
Epoch 343 [unconstrained] | Target: 0.60 | H: 1.032
Epoch 344 [unconstrained] | Target: 0.00 | H: 1.044
Epoch 345 [unconstrained] | Target: 0.00 | H: 1.036
Epoch 346 [unconstrained] | Target: 0.00 | H: 1.039
Epoch 347 [unconstrained] | Target: 0.00 | H: 1.036
Epoch 348 [unconstrained] | Target: 0.10 | H: 1.047
Epoch 349 [unconstrained] | Target: 0.10 | H: 1.038
Epoch 350 [unconstrained] | Target: 0.00 | H: 1.042
Epoch 351 [unconstrained] | Target: 0.00 | H: 1.033
Epoch 352 [unconstrained] | Target: 0.60 | H: 1.032
Epoch 353 [unconstrained] | Target: 0.90 | H: 1.053
Epoch 354 [unconstrained] | Target: 0.20 | H: 1.043
Epoch 355 [unconstrained] | Target: 0.00 | H: 1.041
Epoch 356 [unconstrained] | Target: 0.00 | H: 1.043
Epoch 357 [unconstrained] | Target: 0.40 | H: 1.029
Epoch 358 [unconstrained] | Target: 0.10 | H: 1.048
Epoch 359 [unconstrained] | Target: 0.00 | H: 1.046
Epoch 360 [unconstrained] | Target: 0.00 | H: 1.055
Epoch 361 [unconstrained] | Target: 0.30 | H: 1.052
Epoch 362 [unconstrained] | Target: 0.20 | H: 1.033
Epoch 363 [unconstrained] | Target: 0.00 | H: 1.045
Epoch 364 [unconstrained] | Target: 0.00 | H: 1.040
Epoch 365 [unconstrained] | Target: 0.60 | H: 1.047
Epoch 366 [unconstrained] | Target: 0.00 | H: 1.044
Epoch 367 [unconstrained] | Target: 0.00 | H: 1.050
Epoch 368 [unconstrained] | Target: 0.00 | H: 1.050
Epoch 369 [unconstrained] | Target: 0.20 | H: 1.047
Epoch 370 [unconstrained] | Target: 0.20 | H: 1.050
Epoch 371 [unconstrained] | Target: 0.20 | H: 1.048
Epoch 372 [unconstrained] | Target: 0.30 | H: 1.033
Epoch 373 [unconstrained] | Target: 0.30 | H: 1.046
Epoch 374 [unconstrained] | Target: 0.10 | H: 1.034
Epoch 375 [unconstrained] | Target: 0.00 | H: 1.035
Epoch 376 [unconstrained] | Target: 0.50 | H: 1.039
Epoch 377 [unconstrained] | Target: 0.00 | H: 1.048
Epoch 378 [unconstrained] | Target: 0.00 | H: 1.032
Epoch 379 [unconstrained] | Target: 0.00 | H: 1.030
Epoch 380 [unconstrained] | Target: 0.00 | H: 1.036
Epoch 381 [unconstrained] | Target: 0.10 | H: 1.037
Epoch 382 [unconstrained] | Target: 0.00 | H: 1.028
Epoch 383 [unconstrained] | Target: 0.00 | H: 1.032
Epoch 384 [unconstrained] | Target: 0.10 | H: 1.041
Epoch 385 [unconstrained] | Target: 0.00 | H: 1.032
Epoch 386 [unconstrained] | Target: 0.20 | H: 1.032
Epoch 387 [unconstrained] | Target: 0.10 | H: 1.018
Epoch 388 [unconstrained] | Target: 0.00 | H: 1.030
Epoch 389 [unconstrained] | Target: 0.80 | H: 1.041
Epoch 390 [unconstrained] | Target: 0.10 | H: 1.029
Epoch 391 [unconstrained] | Target: 0.60 | H: 1.028
Epoch 392 [unconstrained] | Target: 0.50 | H: 1.033
Epoch 393 [unconstrained] | Target: 0.00 | H: 1.015
Epoch 394 [unconstrained] | Target: 0.00 | H: 1.022
Epoch 395 [unconstrained] | Target: 0.00 | H: 1.034
Epoch 396 [unconstrained] | Target: 0.30 | H: 1.023
Epoch 397 [unconstrained] | Target: 0.10 | H: 1.024
Epoch 398 [unconstrained] | Target: 0.40 | H: 1.043
Epoch 399 [unconstrained] | Target: 0.10 | H: 1.033
Epoch 400 [unconstrained] | Target: 0.00 | H: 1.036
Epoch 401 [unconstrained] | Target: 0.20 | H: 1.033
Epoch 402 [unconstrained] | Target: 0.00 | H: 1.036
Epoch 403 [unconstrained] | Target: 0.00 | H: 1.040
Epoch 404 [unconstrained] | Target: 0.20 | H: 1.045
Epoch 405 [unconstrained] | Target: 0.00 | H: 1.033
Epoch 406 [unconstrained] | Target: 0.40 | H: 1.040
Epoch 407 [unconstrained] | Target: 0.30 | H: 1.044
Epoch 408 [unconstrained] | Target: 0.40 | H: 1.045
Epoch 409 [unconstrained] | Target: 0.00 | H: 1.038
Epoch 410 [unconstrained] | Target: 0.00 | H: 1.051
Epoch 411 [unconstrained] | Target: 0.10 | H: 1.038
Epoch 412 [unconstrained] | Target: 0.00 | H: 1.047
Epoch 413 [unconstrained] | Target: 0.20 | H: 1.029
Epoch 414 [unconstrained] | Target: 0.80 | H: 1.033
Epoch 415 [unconstrained] | Target: 0.50 | H: 1.030
Epoch 416 [unconstrained] | Target: 0.10 | H: 1.042
Epoch 417 [unconstrained] | Target: 0.10 | H: 1.046
Epoch 418 [unconstrained] | Target: 0.00 | H: 1.033
Epoch 419 [unconstrained] | Target: 0.30 | H: 1.038
Epoch 420 [unconstrained] | Target: 0.60 | H: 1.040
Epoch 421 [unconstrained] | Target: 0.00 | H: 1.013
Epoch 422 [unconstrained] | Target: 0.20 | H: 1.032
Epoch 423 [unconstrained] | Target: 0.50 | H: 1.024
Epoch 424 [unconstrained] | Target: 0.40 | H: 1.019
Epoch 425 [unconstrained] | Target: 0.20 | H: 0.990
Epoch 426 [unconstrained] | Target: 0.10 | H: 1.005
Epoch 427 [unconstrained] | Target: 0.60 | H: 1.000
Epoch 428 [unconstrained] | Target: 0.00 | H: 1.014
Epoch 429 [unconstrained] | Target: 0.60 | H: 1.015
Epoch 430 [unconstrained] | Target: 0.30 | H: 1.001
Epoch 431 [unconstrained] | Target: 0.20 | H: 0.985
Epoch 432 [unconstrained] | Target: 0.20 | H: 1.021
Epoch 433 [unconstrained] | Target: 0.30 | H: 0.999
Epoch 434 [unconstrained] | Target: 0.00 | H: 1.003
Epoch 435 [unconstrained] | Target: 0.00 | H: 1.017
Epoch 436 [unconstrained] | Target: 0.00 | H: 1.012
Epoch 437 [unconstrained] | Target: 0.10 | H: 1.007
Epoch 438 [unconstrained] | Target: 0.10 | H: 0.996
Epoch 439 [unconstrained] | Target: 0.60 | H: 0.984
Epoch 440 [unconstrained] | Target: 0.10 | H: 0.999
Epoch 441 [unconstrained] | Target: 0.40 | H: 0.996
Epoch 442 [unconstrained] | Target: 0.10 | H: 0.990
Epoch 443 [unconstrained] | Target: 0.10 | H: 0.969
Epoch 444 [unconstrained] | Target: 0.00 | H: 0.976
Epoch 445 [unconstrained] | Target: 0.10 | H: 0.963
Epoch 446 [unconstrained] | Target: 0.10 | H: 0.975
Epoch 447 [unconstrained] | Target: 0.30 | H: 0.985
Epoch 448 [unconstrained] | Target: 0.80 | H: 0.960
Epoch 449 [unconstrained] | Target: 0.10 | H: 0.960
Epoch 450 [unconstrained] | Target: 0.00 | H: 0.956
