Epoch 155 [constrained] | Target: 0.10 | Ethical cost: 26.0052 | H: 0.794
Epoch 156 [constrained] | Target: 0.10 | Ethical cost: 31.6965 | H: 0.819
Epoch 157 [constrained] | Target: 0.60 | Ethical cost: 16.9164 | H: 0.821
Epoch 158 [constrained] | Target: 0.00 | Ethical cost: 26.5420 | H: 0.819
Epoch 159 [constrained] | Target: 0.10 | Ethical cost: 27.5702 | H: 0.808
Epoch 160 [constrained] | Target: 0.00 | Ethical cost: 26.2102 | H: 0.786
Epoch 161 [constrained] | Target: 0.20 | Ethical cost: 31.6437 | H: 0.823
Epoch 162 [constrained] | Target: 0.40 | Ethical cost: 23.4214 | H: 0.793
Epoch 163 [constrained] | Target: 0.50 | Ethical cost: 13.2879 | H: 0.785
Epoch 164 [constrained] | Target: 0.50 | Ethical cost: 20.6939 | H: 0.788
Epoch 165 [constrained] | Target: 0.00 | Ethical cost: 17.5109 | H: 0.754
Epoch 166 [constrained] | Target: 0.00 | Ethical cost: 17.2420 | H: 0.753
Epoch 167 [constrained] | Target: 0.00 | Ethical cost: 15.2005 | H: 0.744
Epoch 168 [constrained] | Target: 0.20 | Ethical cost: 13.3147 | H: 0.729
Epoch 169 [constrained] | Target: 0.10 | Ethical cost: 8.7138 | H: 0.678
Epoch 170 [constrained] | Target: 0.30 | Ethical cost: 10.8914 | H: 0.736
Epoch 171 [constrained] | Target: 0.10 | Ethical cost: 8.1443 | H: 0.716
Epoch 172 [constrained] | Target: 0.00 | Ethical cost: 9.2275 | H: 0.671
Epoch 173 [constrained] | Target: 0.60 | Ethical cost: 3.8209 | H: 0.688
Epoch 174 [constrained] | Target: 0.40 | Ethical cost: 5.7489 | H: 0.630
Epoch 175 [constrained] | Target: 0.60 | Ethical cost: 5.8776 | H: 0.676
Epoch 176 [constrained] | Target: 0.00 | Ethical cost: 10.3400 | H: 0.699
Epoch 177 [constrained] | Target: 0.00 | Ethical cost: 9.3355 | H: 0.610
Epoch 178 [constrained] | Target: 0.20 | Ethical cost: 5.0346 | H: 0.594
Epoch 179 [constrained] | Target: 0.00 | Ethical cost: 7.2720 | H: 0.591
Epoch 180 [constrained] | Target: 0.00 | Ethical cost: 5.5635 | H: 0.546
Epoch 181 [constrained] | Target: 0.30 | Ethical cost: 3.0941 | H: 0.553
Epoch 182 [constrained] | Target: 0.10 | Ethical cost: 4.1271 | H: 0.545
Epoch 183 [constrained] | Target: 0.00 | Ethical cost: 5.8997 | H: 0.534
Epoch 184 [constrained] | Target: 0.00 | Ethical cost: 3.6126 | H: 0.517
Epoch 185 [constrained] | Target: 0.00 | Ethical cost: 3.8796 | H: 0.520
Epoch 186 [constrained] | Target: 0.00 | Ethical cost: 1.8278 | H: 0.496
Epoch 187 [constrained] | Target: 0.40 | Ethical cost: 3.1906 | H: 0.527
Epoch 188 [constrained] | Target: 0.10 | Ethical cost: 2.5714 | H: 0.464
Epoch 189 [constrained] | Target: 0.10 | Ethical cost: 3.7966 | H: 0.512
Epoch 190 [constrained] | Target: 0.00 | Ethical cost: 2.4480 | H: 0.464
Epoch 191 [constrained] | Target: 0.10 | Ethical cost: 3.6762 | H: 0.495
Epoch 192 [constrained] | Target: 0.00 | Ethical cost: 3.2548 | H: 0.507
Epoch 193 [constrained] | Target: 0.70 | Ethical cost: 4.1609 | H: 0.546
Epoch 194 [constrained] | Target: 0.00 | Ethical cost: 2.7913 | H: 0.504
Epoch 195 [constrained] | Target: 0.50 | Ethical cost: 2.0784 | H: 0.502
Epoch 196 [constrained] | Target: 0.00 | Ethical cost: 3.5358 | H: 0.565
Epoch 197 [constrained] | Target: 0.00 | Ethical cost: 1.8042 | H: 0.515
Epoch 198 [constrained] | Target: 0.00 | Ethical cost: 8.2974 | H: 0.589
Epoch 199 [constrained] | Target: 0.00 | Ethical cost: 3.5658 | H: 0.537
Epoch 200 [constrained] | Target: 0.00 | Ethical cost: 2.4025 | H: 0.543
Epoch 201 [constrained] | Target: 0.00 | Ethical cost: 3.0173 | H: 0.551
Epoch 202 [constrained] | Target: 0.00 | Ethical cost: 6.6279 | H: 0.603
Epoch 203 [constrained] | Target: 0.00 | Ethical cost: 5.2601 | H: 0.590
Epoch 204 [constrained] | Target: 0.00 | Ethical cost: 6.3291 | H: 0.602
